fire, plant,elephant,normal,temperature,accelerometer,VarName8,VarName9,din1
0,0,0,1,15.9,-0.038,-0.02,0.954,0
0,0,0,1,15.8,-0.038,-0.019,0.954,0
0,1,0,0,15.3,0.946,0,0.134,0
0,1,0,0,15,0.947,0,0.132,0
0,1,0,0,14.9,0.962,0.014,0.077,0
0,0,0,1,15,-0.036,-0.021,0.954,0
0,0,0,1,15,-0.036,-0.022,0.954,0
0,0,1,0,23.5,-0.025,-0.029,0.953,12
0,0,0,1,24.5,-0.038,-0.028,0.949,0
1,0,0,0,56.5,-0.033,-0.029,0.981,0
0,0,0,1,28,-0.04,-0.027,0.965,0
0,0,0,1,25.8,-0.03,-0.046,1.022,0
0,0,0,1,24.7,-0.032,-0.029,0.944,0
0,1,0,0,24.7,0.961,0.003,0.022,0
0,1,0,0,23.4,0.962,0.003,0.017,0
0,1,0,0,20.3,0.96,0.003,0.014,0
0,1,0,0,20.6,0.961,0.005,0.026,0
0,0,0,1,20.8,-0.035,-0.015,0.953,0
0,0,0,1,18.9,-0.035,-0.013,0.956,0
0,0,1,0,18.6,-0.039,-0.013,0.952,20
0,0,0,1,18.8,-0.041,-0.012,0.948,0
0,0,0,1,18.6,-0.044,-0.012,0.948,0
0,0,0,1,18.3,-0.045,-0.011,0.994,0
0,0,0,1,18.2,-0.045,-0.03,1.13,0
0,0,0,1,17.6,-0.044,-0.026,1.049,0
0,0,0,1,26.5,-0.047,-0.03,1.025,0
0,0,0,1,26.8,-0.033,-0.026,0.948,0
1,0,0,0,57.3,-0.038,-0.019,0.953,0
0,0,0,1,26.3,-0.037,-0.017,0.951,0
0,0,0,1,22.3,-0.041,-0.014,0.95,0
0,0,0,1,21.3,-0.038,-0.019,0.958,0
0,0,0,1,20,-0.039,-0.018,0.956,0
0,1,0,0,19,0.94,0.007,0.163,4
0,1,0,0,19,0.937,0.006,0.166,0
0,0,0,1,18.7,-0.05,-0.012,0.938,0
0,0,0,1,17.3,-0.047,-0.01,0.953,0
0,0,0,1,16.9,-0.041,-0.013,0.951,0
0,0,0,1,15.8,-0.038,-0.01,0.944,0
0,0,0,1,20.9,-0.039,-0.02,0.993,0
1,0,0,0,51.6,-0.038,-0.016,0.952,0
1,0,0,0,57.3,-0.039,-0.017,0.953,0
1,0,0,0,59.3,-0.04,-0.017,0.951,0
1,0,0,0,55.5,-0.041,-0.014,0.954,0
0,0,0,1,39.8,-0.038,0.003,0.947,0
0,0,0,1,34.3,-0.04,-0.014,0.955,0
0,0,0,1,28.1,-0.069,0.023,0.926,0
0,0,0,1,19.7,-0.038,-0.024,0.951,0
0,0,0,1,19.2,-0.037,-0.014,0.957,0
0,0,1,0,17.9,-0.022,-0.021,0.968,8
0,0,1,0,17.1,-0.044,-0.01,0.951,4
0,0,0,1,15.9,-0.039,-0.013,0.955,0
0,0,0,1,26.6,-0.044,-0.011,0.954,0
0,0,0,1,28.1,-0.043,-0.011,0.955,0
0,0,1,0,28.1,0.947,0.007,0.108,16
1,0,0,0,55.4,0.947,0.006,0.108,0
1,0,0,0,41.4,0.948,0.001,0.108,0
0,1,0,0,39.7,0.945,0.005,0.103,0
0,1,0,0,37.3,0.943,0.007,0.104,0
0,0,0,1,33.4,-0.035,-0.02,0.955,8
0,0,0,1,28.1,-0.043,-0.02,0.944,0
0,0,0,1,28.2,-0.043,-0.02,0.947,0
0,0,0,1,22.8,-0.042,-0.018,0.948,0
0,0,0,1,21.2,-0.043,-0.019,0.946,0
0,0,0,1,19.4,-0.047,-0.018,0.968,0
0,0,0,1,19.4,-0.038,-0.018,0.959,0
0,0,0,1,19.1,-0.036,-0.024,0.928,0
0,0,0,1,19,-0.042,-0.013,0.962,0
0,0,0,1,18.9,-0.039,-0.031,1.11,0
0,0,0,1,18.8,-0.041,-0.033,1.051,0
0,0,0,1,18.6,-0.038,-0.031,1.013,0
0,0,0,1,18.8,-0.021,-0.03,0.99,0
0,0,0,1,19,-0.033,-0.033,0.931,0
0,0,0,1,18.4,-0.036,-0.02,0.931,0
0,0,0,1,18,-0.039,-0.022,0.949,0
0,0,0,1,18.1,-0.039,-0.018,0.946,0
0,1,0,0,18.1,0.953,0.002,0.104,0
0,1,0,0,18.2,0.952,0.003,0.107,0
0,1,0,0,18.3,0.951,0.009,0.11,0
0,0,0,1,18.6,-0.034,-0.016,0.946,0
0,0,0,1,19.5,-0.049,-0.016,0.95,0
0,0,0,1,27.7,-0.04,-0.014,0.952,0
0,0,0,1,28.1,-0.044,-0.012,0.953,0
0,0,0,1,28.3,-0.038,-0.016,0.95,0
1,0,0,0,44.6,-0.041,-0.018,0.952,8
1,0,0,0,54.8,-0.042,-0.017,0.949,0
1,0,0,0,55.9,-0.04,-0.014,0.951,0
1,0,0,0,58,-0.042,-0.02,0.953,0
1,0,0,0,44,-0.044,-0.017,0.954,0
0,0,0,1,35.6,-0.041,-0.017,0.951,0
0,0,0,1,30.8,-0.043,-0.015,0.95,0
0,0,0,1,26,-0.039,-0.017,0.948,0
0,0,0,1,21.8,-0.037,-0.005,0.968,0
0,0,0,1,21.7,-0.03,-0.01,0.963,0
0,0,0,1,20.6,-0.057,-0.033,1.174,0
0,0,0,1,18.3,-0.045,-0.029,0.999,0
0,0,0,1,18,-0.04,-0.028,1.006,0
0,0,0,1,17.5,-0.045,-0.03,0.991,0
0,0,0,1,17.5,-0.022,-0.032,1.025,0
0,0,0,1,17.9,-0.038,-0.025,0.94,0
0,0,0,1,18.3,-0.037,-0.023,0.948,0
0,0,0,1,17.7,-0.039,-0.018,0.952,0
0,0,0,1,17.8,-0.041,-0.016,0.952,0
0,0,0,1,18.1,-0.039,-0.015,0.95,0
0,1,0,0,18.2,0.952,0.009,0.104,4
0,1,0,0,18.4,0.952,0.007,0.1,0
0,1,0,0,18.2,0.951,0.006,0.098,0
0,1,0,0,17.8,0.952,0.009,0.102,0
0,1,0,0,27,0.95,0.01,0.103,0
0,1,0,0,27.6,0.951,0.01,0.101,0
0,1,0,0,40.5,0.951,0.01,0.102,0
1,0,0,0,57.3,0,0.01,0.104,0
